IVOL,S11
0.0507512,5.33757
0.202015,4.62503
0.129068,5.12734
0.118483,4.91545
0.151175,3.87302
0.189743,3.97188
0.222848,4.70202
0.221664,4.7121
0.269964,4.74852
0.246606,4.10288
0.241811,4.3709
0.193617,4.67508
0.122116,3.96848
0.244939,4.76518
0.185149,3.96418
0.15416,4.45731
0.213161,4.00885
0.244357,4.7353
0.195228,4.13175
0.259643,4.78203
0.0685511,4.27443
0.137701,4.76966
0.176799,4.29109
0.20204,4.5928
0.310116,4.58459
0.264773,4.82643
0.308157,4.29842
0.363365,4.74633
0.0787447,5.73095
0.0981245,5.12466
0.103509,5.69643
0.0670073,5.32482
0.145739,5.01879
0.117241,4.52594
0.221836,3.90255
0.100284,4.63843
0.0973801,1.79219
0.344781,4.56011
0.116788,5.2043
0.26189,4.76599
0.0594287,5.03339
0.139842,5.03362
0.0515401,2.64087
0.110142,6.56437
0.243854,4.54804
0.244956,4.43299
0.326967,4.98782
0.0806076,3.90852
0.313679,4.19508
0.0458954,4.65624
0.0839809,1.80395
0.0960917,4.85375
0.363098,4.94296
0.0636991,5.1797
0.154072,4.89968
0.133134,5.01556
0.36982,4.30475
0.332155,4.96037
0.062558,3.50127
0.0766368,4.71996
0.262735,4.15292
0.150912,4.83942
0.226072,4.11306
0.287082,4.97016
0.260965,4.51338
0.229597,4.82865
0.0607896,8.07867
0.122515,4.85373
0.245416,4.30245
0.386093,4.60716
0.0754583,2.23639
0.0734597,6.86349
0.0831026,3.00219
0.110226,6.98084
0.0932174,2.0962
0.07486,3.11802
0.254481,4.41679
0.0534098,8.01847
0.164714,4.06204
0.0423022,6.07931
0.233791,3.87422
0.340712,4.58575
0.0802673,5.29723
0.229248,3.93103
0.0945588,5.78679
0.243364,4.42277
0.0614577,3.7024
0.0960098,5.08276
0.108416,4.80964
0.245719,4.40813
0.271431,4.58751
0.249032,4.1301
0.241707,3.95751
0.17628,4.19605
0.269419,4.5034
0.272346,4.49015
0.11915,4.70317
0.310006,4.30321
0.363609,4.71944
0.142124,4.47416
0.265855,4.32921
0.0942646,5.10983
0.0984749,4.77714
0.261037,4.89549
0.109748,4.8083
0.0727019,4.33112
0.106219,3.9855
0.1128,3.79458
0.0632864,5.67532
0.0932145,4.06712
0.0951182,3.68568
0.0552285,5.23034
0.094604,5.27426
0.0858307,4.85586
0.0711039,4.94668
0.0806593,3.20115
0.0507512,5.33757
0.202015,4.62503
0.129068,5.12734
0.118483,4.91545
0.151175,3.87302
0.189743,3.97188
0.222848,4.70202
0.221664,4.7121
0.269964,4.74852
0.246606,4.10288
0.241811,4.3709
0.193617,4.67508
0.122116,3.96848
0.244939,4.76518
0.185149,3.96418
0.15416,4.45731
0.213161,4.00885
0.244357,4.7353
0.195228,4.13175
0.259643,4.78203
0.0685511,4.27443
0.137701,4.76966
0.176799,4.29109
0.20204,4.5928
0.310116,4.58459
0.264773,4.82643
0.308157,4.29842
0.363365,4.74633
0.0787447,5.73095
0.0981245,5.12466
0.103509,5.69643
0.0670073,5.32482
0.145739,5.01879
0.117241,4.52594
0.221836,3.8867
0.100284,4.6493
0.0973802,1.78902
0.344781,4.53238
0.116788,5.21579
0.26189,4.79013
0.0594287,5.02203
0.139842,5.01582
0.0515401,2.61673
0.110142,6.55819
0.243854,4.54419
0.244956,4.43935
0.326968,4.97099
0.0806076,3.91845
0.313679,4.1833
0.0458955,4.64716
0.0839809,1.79865
0.0960917,4.85746
0.363098,4.92795
0.0636991,5.16106
0.154072,4.89818
0.133134,5.01197
0.36982,4.29375
0.332155,4.94435
0.0625581,3.51636
0.0766368,4.71577
0.262735,4.13856
0.150912,4.8263
0.226072,4.09484
0.287082,4.95168
0.260965,4.48405
0.229597,4.7994
0.0607897,8.07703
0.122515,4.8524
0.245416,4.3285
0.386093,4.62537
0.0754583,2.21374
0.0734597,6.84958
0.0831026,2.97796
0.110226,6.97216
0.0932174,2.08562
0.07486,3.12965
0.254482,4.42517
0.0534098,8.01171
0.164714,4.0257
0.0423022,6.05382
0.233791,3.85709
0.340712,4.60615
0.0802674,5.28412
0.229248,3.91445
0.0945588,5.76327
0.243364,4.42839
0.0614577,3.70371
0.0960098,5.07631
0.108416,4.79337
0.245719,4.41571
0.271431,4.61165
0.249032,4.11349
0.241707,3.94405
0.17628,4.23526
0.269419,4.47354
0.272346,4.46119
0.11915,4.68968
0.310006,4.29131
0.363609,4.73817
0.142125,4.46684
0.265855,4.31457
0.0942647,5.09507
0.098475,4.76217
0.261037,4.8645
0.109748,4.79633
0.0727019,4.34613
0.106219,3.97669
0.1128,3.79112
0.0632864,5.65618
0.0932145,4.06847
0.0951182,3.69316
0.0552285,5.20771
0.0946041,5.26052
0.0858307,4.84373
0.071104,4.92796
0.0806593,3.2151
0.0507512,5.33562
0.202015,4.63349
0.129068,5.11396
0.118483,4.91541
0.151175,3.84554
0.189743,4.00723
0.222848,4.69434
0.221664,4.71684
0.269965,4.72064
0.246606,4.12899
0.241811,4.39955
0.193617,4.66943
0.122116,3.9357
0.244939,4.75378
0.185149,4.00147
0.15416,4.41584
0.213161,4.03915
0.244357,4.72303
0.195228,4.16111
0.259643,4.77809
0.0685511,4.27627
0.137701,4.75876
0.176799,4.26153
0.20204,4.62209
0.310116,4.60633
0.264773,4.79435
0.308157,4.2847
0.363365,4.76554
0.0787447,5.71034
0.0981245,5.11557
0.103509,5.69229
0.0670073,5.31712
0.145739,5.02563
0.117241,4.48735
0.221836,3.93388
0.100284,4.61564
0.0973802,1.79374
0.344781,4.57942
0.116788,5.14352
0.26189,4.7293
0.0594287,4.95435
0.139842,4.99923
0.0515401,2.6309
0.110142,6.46088
0.243854,4.54645
0.244956,4.3847
0.326968,4.99235
0.0806076,3.89842
0.313679,4.21617
0.0458955,4.63761
0.0839809,1.80747
0.0960917,4.8426
0.363098,4.94695
0.0636991,5.13186
0.154072,4.86282
0.133134,4.96014
0.36982,4.32213
0.332155,4.96367
0.0625581,3.48505
0.0766368,4.69772
0.262735,4.17816
0.150912,4.85034
0.226072,4.14307
0.287082,4.97655
0.260965,4.54089
0.229597,4.84889
0.0607897,7.94082
0.122515,4.80524
0.245416,4.26994
0.386093,4.5768
0.0754583,2.23537
0.0734597,6.77065
0.0831026,2.99358
0.110226,6.87688
0.0932174,2.09242
0.07486,3.12721
0.254482,4.36198
0.0534098,7.89139
0.164714,4.09912
0.0423022,6.03201
0.233791,3.90653
0.340712,4.55339
0.0802674,5.26593
0.229248,3.96335
0.0945588,5.72587
0.243364,4.37607
0.0614577,3.69993
0.0960098,5.05389
0.108416,4.76
0.245719,4.35391
0.271431,4.55107
0.249032,4.15767
0.241707,3.98457
0.17628,4.15216
0.269419,4.52846
0.272346,4.51719
0.11915,4.64545
0.310006,4.32175
0.363609,4.68891
0.142125,4.48229
0.265855,4.35105
0.0942647,5.04993
0.098475,4.72022
0.261037,4.91266
0.109748,4.81289
0.0727019,4.32163
0.106219,4.0049
0.1128,3.80707
0.0632864,5.59928
0.0932145,4.0601
0.0951182,3.6764
0.0552285,5.19442
0.0946041,5.21146
0.0858307,4.79071
0.071104,4.88035
0.0806593,3.19383
0.0507512,5.29462
0.202015,4.56665
0.129068,5.12423
0.118483,4.84853
0.151175,3.90622
0.189743,3.93483
0.222848,4.64147
0.221664,4.66689
0.269965,4.76686
0.246606,4.07291
0.241811,4.33513
0.193617,4.61008
0.122116,4.00325
0.244939,4.75124
0.185149,3.92448
0.15416,4.49699
0.213161,3.97705
0.244357,4.71399
0.195228,4.09581
0.259643,4.77896
0.0685511,4.28382
0.137701,4.75629
0.176799,4.32088
0.20204,4.55197
0.310116,4.551
0.264773,4.84356
0.308157,4.32001
0.363365,4.71439
0.0787447,5.66158
0.0981245,5.06998
0.103509,5.64516
0.0670073,5.28696
0.145739,4.98895
0.117241,4.56292
0.221836,3.89641
0.100284,4.53886
0.0973801,1.70357
0.344781,4.45348
0.116788,5.03047
0.26189,4.93625
0.0594286,4.89104
0.139842,4.85424
0.0515401,2.50482
0.110142,6.39953
0.243854,4.60447
0.244956,4.28267
0.326967,4.97093
0.0806076,3.81233
0.313678,4.20859
0.0458954,4.49035
0.0839808,1.70995
0.0960916,4.73767
0.363098,4.93603
0.063699,4.99731
0.154072,4.76444
0.133134,4.8407
0.36982,4.3206
0.332155,4.94681
0.062558,3.41431
0.0766367,4.56393
0.262735,4.14882
0.150912,4.74219
0.226072,4.09783
0.287082,4.94662
0.260965,4.42308
0.229597,4.7792
0.0607896,7.89215
0.122515,4.68948
0.245415,4.48437
0.386093,4.74037
0.0754583,2.1065
0.0734597,6.66634
0.0831026,2.8539
0.110226,6.79537
0.0932173,1.99837
0.07486,3.10449
0.254481,4.26253
0.0534098,7.81384
0.164714,4.10522
0.0423022,5.84777
0.233791,3.87159
0.340712,4.73661
0.0802673,5.11936
0.229247,3.92378
0.0945588,5.58214
0.243364,4.2763
0.0614577,3.62345
0.0960097,4.90643
0.108416,4.64417
0.245719,4.25467
0.271431,4.75623
0.249032,4.12391
0.241706,3.95862
0.17628,4.4127
0.269419,4.39123
0.272346,4.39964
0.11915,4.52424
0.310006,4.31527
0.363609,4.85602
0.142124,4.45138
0.265855,4.32529
0.0942646,4.92886
0.0984749,4.59719
0.261037,4.77164
0.109748,4.72696
0.0727018,4.26963
0.106219,3.9483
0.1128,3.79754
0.0632864,5.50019
0.0932145,3.97582
0.0951182,3.59862
0.0552285,5.03491
0.094604,5.09762
0.0858307,4.69936
0.0711039,4.77276
0.0806593,3.16062
0.0507512,5.16149
0.202015,4.46449
0.129068,5.01082
0.118483,4.75165
0.151175,3.92164
0.189743,4.19151
0.222847,4.53124
0.221664,4.55692
0.269964,4.66942
0.246606,4.29712
0.24181,4.55366
0.193617,4.50509
0.122116,4.02846
0.244939,4.62802
0.185149,4.18572
0.15416,4.47278
0.213161,4.21991
0.244357,4.57861
0.195228,4.34278
0.259643,4.82628
0.0685511,4.23045
0.137701,4.63048
0.176799,4.28768
0.20204,4.79131
0.310116,4.74028
0.264773,4.69606
0.308157,4.30346
0.363365,4.88473
0.0787447,5.54393
0.0981245,4.94378
0.103508,5.51394
0.0670072,5.14104
0.145739,4.88102
0.117241,4.51119
0.221836,4.54953
0.100284,4.35873
0.0973802,1.7053
0.344781,4.27729
0.116788,4.79861
0.26189,4.72712
0.0594287,4.55003
0.139842,4.67912
0.0515401,2.45612
0.110142,5.98107
0.243854,4.39033
0.244956,4.0811
0.326968,5.47851
0.0806076,3.70486
0.313679,4.73064
0.0458955,4.38029
0.0839809,1.71538
0.0960917,4.57461
0.363098,5.41842
0.0636991,4.76535
0.154072,4.5529
0.133134,4.6086
0.36982,4.81872
0.332155,5.45583
0.0625581,3.31377
0.0766368,4.43339
0.262735,4.72905
0.150912,4.5904
0.226072,4.73431
0.287082,5.49882
0.260965,4.25305
0.229597,4.59584
0.0607897,7.389
0.122515,4.47009
0.245416,4.31007
0.386093,4.49213
0.0754583,2.09288
0.0734597,6.31883
0.0831026,2.79991
0.110226,6.39661
0.0932174,1.97441
0.07486,2.98629
0.254482,4.05506
0.0534098,7.35294
0.164714,3.95136
0.0423022,5.6465
0.233791,4.48884
0.340712,4.4808
0.0802674,4.96464
0.229248,4.54638
0.0945588,5.3299
0.243364,4.07743
0.0614577,3.51955
0.0960098,4.73291
0.108416,4.39318
0.245719,4.05259
0.271431,4.5101
0.249032,4.72449
0.241707,4.57681
0.17628,4.30101
0.269419,4.22157
0.272346,4.22378
0.11915,4.29458
0.310006,4.85765
0.363609,4.611
0.142125,4.27806
0.265855,4.91684
0.0942647,4.68089
0.098475,4.36473
0.261037,4.59505
0.109748,4.55055
0.0727019,4.10656
0.106219,3.82681
0.1128,3.64502
0.0632864,5.17362
0.0932145,3.85713
0.0951182,3.50016
0.0552285,4.84213
0.0946041,4.83348
0.0858307,4.41288
0.071104,4.49685
0.0806593,3.05074
0.0507512,4.97483
0.202015,4.25406
0.129068,4.82805
0.118483,4.50275
0.151175,3.77327
0.189743,4.08608
0.222848,4.31384
0.221664,4.35254
0.269965,4.47993
0.246606,4.15296
0.241811,4.39264
0.193617,4.28489
0.122116,3.87181
0.244939,4.43443
0.185149,4.06511
0.15416,4.31589
0.213161,4.10094
0.244357,4.38233
0.195228,4.16229
0.259643,4.58185
0.0685511,4.07527
0.137701,4.44327
0.176799,4.13166
0.20204,4.58084
0.310116,4.49653
0.264773,4.50985
0.308157,4.84776
0.363365,4.62043
0.0787447,5.24908
0.0981245,4.71828
0.103509,5.27605
0.0670073,4.95765
0.145739,4.68444
0.117241,4.35252
0.00129571,0.0
0.000916434,0.0
0.000941442,0.0
0.000956698,0.0
0.000869345,0.0
0.00101184,0.0
0.00117396,0.0
0.000513999,0.0
0.000816432,0.0
0.000931932,0.0
0.000889638,0.0
0.00091019,0.0
0.000979514,0.0
0.000889734,0.0
0.00119781,0.0
0.00121075,0.0
0.00121201,0.0
0.00114428,0.0
0.000787271,0.0
0.000775039,0.0
0.00113875,0.0
0.001272,0.0
0.00121163,0.0
0.000897397,0.0
0.000869081,0.0
0.00110976,0.0
0.00118294,0.0
0.00108362,0.0
0.000854843,0.0
0.000799181,0.0
0.000905909,0.0
0.000785816,0.0
0.0011212,0.0
0.000961552,0.0
0.000833261,0.0
0.000790085,0.0
0.000841217,0.0
0.000974671,0.0
0.000943518,0.0
0.000734348,0.0
0.000987353,0.0
0.000488633,0.0
0.000711194,0.0
0.0010069,0.0
0.000712922,0.0
0.00100053,0.0
0.00111898,0.0
0.000730617,0.0
0.000815265,0.0
0.000952053,0.0
0.000498001,0.0
0.000934751,0.0
0.0011647,0.0
0.00129571,0.0
0.000916434,0.0
0.000941442,0.0
0.000956698,0.0
0.000869345,0.0
0.00101184,0.0
0.00117396,0.0
0.000513999,0.0
0.000816432,0.0
0.000931932,0.0
0.000889638,0.0
0.00091019,0.0
0.000979514,0.0
0.000889734,0.0
0.00119781,0.0
0.00121075,0.0
0.00121201,0.0
0.00114428,0.0
0.000787271,0.0
0.000775039,0.0
0.00113875,0.0
0.001272,0.0
0.00121163,0.0
0.000897397,0.0
0.000869081,0.0
0.00110976,0.0
0.00118294,0.0
0.00108362,0.0
0.000854843,0.0
0.000799181,0.0
0.000905909,0.0
0.000785816,0.0
0.0011212,0.0
0.000961552,0.0
0.000833261,0.0
0.000790085,0.0
0.000841217,0.0
0.000974671,0.0
0.000943518,0.0
0.000734348,0.0
0.000987353,0.0
0.000488633,0.0
0.000711194,0.0
0.0010069,0.0
0.000712922,0.0
0.00100053,0.0
0.00111898,0.0
0.000730617,0.0
0.000815265,0.0
0.000952053,0.0
0.000498001,0.0
0.000934751,0.0
0.0011647,0.0
0.00129571,0.0
0.000916434,0.0
0.000941442,0.0
0.000956698,0.0
0.000869345,0.0
0.00101184,0.0
0.00117396,0.0
0.000513999,0.0
0.000816432,0.0
0.000931932,0.0
0.000889638,0.0
0.00091019,0.0
0.000979514,0.0
0.000889734,0.0
0.00119781,0.0
0.00121075,0.0
0.00121201,0.0
0.00114428,0.0
0.000787271,0.0
0.000775039,0.0
0.00113875,0.0
0.001272,0.0
0.00121163,0.0
0.000897397,0.0
0.000869081,0.0
0.00110976,0.0
0.00118294,0.0
0.00108362,0.0
0.000854843,0.0
0.000799181,0.0
0.000905909,0.0
0.000785816,0.0
0.0011212,0.0
0.000961552,0.0
0.000833261,0.0
0.000790085,0.0
0.000841217,0.0
0.000974671,0.0
0.000943518,0.0
0.000734348,0.0
0.000987353,0.0
0.000488633,0.0
0.000711194,0.0
0.0010069,0.0
0.000712922,0.0
0.00100053,0.0
0.00111898,0.0
0.000730617,0.0
0.000815265,0.0
0.000952053,0.0
0.000498001,0.0
0.000934751,0.0
0.0011647,0.0
0.00129571,0.0
0.000916434,0.0
0.000941442,0.0
0.000956698,0.0
0.000869345,0.0
