Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
182.524272	0.687700	4.953784	0.182524	0.138823	
183.495146	0.687700	4.942968	0.183495	0.139127	
184.466019	0.734041	4.932152	0.184466	0.148828	
185.436893	0.757212	4.942968	0.185437	0.153190	
186.407767	0.791968	4.953784	0.186408	0.159871	
187.378641	0.838309	4.953784	0.187379	0.169226	
188.349515	0.884650	4.975417	0.188350	0.177804	
189.320388	0.919406	4.964600	0.189320	0.185192	
190.291262	0.965747	4.964600	0.190291	0.194527	
191.262136	0.965747	4.986233	0.191262	0.193683	
192.233010	1.000502	4.964600	0.192233	0.201527	
193.203883	1.035258	4.986233	0.193204	0.207623	
194.174757	1.023673	4.964600	0.194175	0.206194	
195.145631	1.023673	4.964600	0.195146	0.206194	
196.116505	1.023673	4.975417	0.196117	0.205746	
197.087379	1.035258	4.953784	0.197087	0.208983	
198.058252	1.023673	4.942968	0.198058	0.207097	
199.029126	1.046843	4.932152	0.199029	0.212249	
200.000000	1.058429	4.942968	0.200000	0.214128	
200.970874	1.093184	4.921336	0.200971	0.222132	
201.941748	1.116355	4.932152	0.201942	0.226342	
202.912621	1.185866	4.942968	0.202913	0.239910	
203.883495	1.266963	4.932152	0.203883	0.256878	
204.854369	1.313304	4.932152	0.204854	0.266274	
205.825243	1.394401	4.964600	0.205825	0.280869	
206.796117	1.452327	4.964600	0.206796	0.292537	
207.766990	1.510253	4.964600	0.207767	0.304204	
208.737864	1.591350	4.986233	0.208738	0.319149	
209.708738	1.637691	4.986233	0.209709	0.328443	
210.679612	1.718788	4.986233	0.210680	0.344707	
211.650485	1.753544	4.986233	0.211650	0.351677	
212.621359	1.799885	4.975417	0.212621	0.361756	
213.592233	1.857811	4.975417	0.213592	0.373398	
214.563107	1.892567	4.975417	0.214563	0.380384	
215.533981	1.973663	4.953784	0.215534	0.398415	
216.504854	2.043175	4.942968	0.216505	0.413350	
217.475728	2.089516	4.953784	0.217476	0.421802	
218.446602	2.205368	4.942968	0.218447	0.446163	
219.417476	2.240124	4.921336	0.219417	0.455186	
220.388350	2.321221	4.953784	0.220388	0.468575	
221.359223	2.402318	4.964600	0.221359	0.483889	
222.330097	2.483414	4.964600	0.222330	0.500224	
223.300971	2.518170	4.986233	0.223301	0.505025	
224.271845	2.564511	4.986233	0.224272	0.514318	
225.242718	2.610852	4.997049	0.225243	0.522479	
226.213592	2.634023	4.986233	0.226214	0.528259	
227.184466	2.680364	5.018681	0.227184	0.534077	
228.155340	2.715119	4.997049	0.228155	0.543345	
229.126214	2.749875	4.986233	0.229126	0.551494	
230.097087	2.784631	4.997049	0.230097	0.557255	
231.067961	2.819387	4.997049	0.231068	0.564210	
232.038835	2.888898	4.964600	0.232039	0.581899	
233.009709	2.912069	4.975417	0.233010	0.585291	
233.980583	2.981580	4.975417	0.233981	0.599262	
234.951456	3.051092	4.964600	0.234951	0.614569	
235.922330	3.097433	4.953784	0.235922	0.625266	
236.893204	3.178530	4.964600	0.236893	0.640239	
237.864078	3.201700	4.964600	0.237864	0.644906	
238.834951	3.259626	4.964600	0.238835	0.656574	
239.805825	3.305967	4.975417	0.239806	0.664460	
240.776699	3.363894	4.975417	0.240777	0.676103	
241.747573	3.398649	4.986233	0.241748	0.681607	
242.718447	3.468161	4.997049	0.242718	0.694042	
243.689320	3.502917	5.007865	0.243689	0.699483	
244.660194	3.560843	5.018681	0.244660	0.709518	
245.631068	3.618769	5.007865	0.245631	0.722617	
246.601942	3.699866	5.029497	0.246602	0.735633	
247.572816	3.780963	5.018681	0.247573	0.753378	
248.543689	3.838889	4.986233	0.248544	0.769898	
249.514563	3.896815	5.007865	0.249515	0.778139	
250.485437	3.966327	4.997049	0.250485	0.793734	
251.456311	4.024253	4.986233	0.251456	0.807073	
252.427184	4.082179	4.986233	0.252427	0.818690	
253.398058	4.140106	4.986233	0.253398	0.830307	
254.368932	4.198032	4.986233	0.254369	0.841925	
255.339806	4.244373	4.986233	0.255340	0.851218	
256.310680	4.290714	4.997049	0.256311	0.858650	
257.281553	4.360225	5.018681	0.257282	0.868799	
258.252427	4.429737	5.018681	0.258252	0.882650	
259.223301	4.476078	5.018681	0.259223	0.891883	
260.194175	4.522419	5.029497	0.260194	0.899179	
261.165049	4.603516	5.072762	0.261165	0.907497	
262.135922	4.649857	5.029497	0.262136	0.924517	
263.106796	4.684612	5.051129	0.263107	0.927439	
264.077670	4.788880	5.018681	0.264078	0.954211	
265.048544	4.846806	5.018681	0.265049	0.965753	
266.019417	4.893147	5.018681	0.266019	0.974987	
266.990291	4.939488	5.018681	0.266990	0.984220	
267.961165	4.974244	5.007865	0.267961	0.993286	
268.932039	5.020585	5.018681	0.268932	1.000379	
269.902913	5.066926	5.007865	0.269903	1.011794	
270.873786	5.124852	5.007865	0.270874	1.023361	
271.844660	5.182778	5.018681	0.271845	1.032697	
272.815534	5.229119	5.018681	0.272816	1.041931	
273.786408	5.263875	5.029497	0.273786	1.046601	
274.757282	5.321801	5.040313	0.274757	1.055847	
275.728155	5.379728	5.040313	0.275728	1.067340	
276.699029	5.437654	5.051129	0.276699	1.076522	
277.669903	5.483995	5.040313	0.277670	1.088027	
278.640777	5.541921	5.061946	0.278641	1.094820	
279.611650	5.588262	5.040313	0.279612	1.108713	
280.582524	5.623018	5.029497	0.280583	1.118008	
281.553398	5.646188	5.029497	0.281553	1.122615	
282.524272	5.704115	5.040313	0.282524	1.131698	
283.495146	5.738870	5.040313	0.283495	1.138594	
284.466019	5.796797	5.018681	0.284466	1.155044	
285.436893	5.819967	5.029497	0.285437	1.157167	
286.407767	5.866308	5.029497	0.286408	1.166381	
287.378641	5.912649	5.051129	0.287379	1.170560	
288.349515	5.982161	5.040313	0.288350	1.186863	
289.320388	6.051672	5.051129	0.289320	1.198083	
290.291262	6.098013	5.061946	0.290291	1.204678	
291.262136	6.155940	5.072762	0.291262	1.213528	
292.233010	6.213866	5.094394	0.292233	1.219746	
293.203883	6.294963	5.083578	0.293204	1.238294	
294.174757	6.329718	5.094394	0.294175	1.242487	
295.145631	6.399230	5.083578	0.295146	1.258804	
296.116505	6.433986	5.105210	0.296117	1.260278	
297.087379	6.480327	5.083578	0.297087	1.274757	
298.058252	6.480327	5.072762	0.298058	1.277475	
299.029126	6.526668	5.072762	0.299029	1.286610	
300.000000	6.561424	5.051129	0.300000	1.299001	
300.970874	6.596179	5.061946	0.300971	1.303092	
301.941748	6.619350	5.029497	0.301942	1.316106	
302.912621	6.654106	5.040313	0.302913	1.320177	
303.883495	6.746788	5.051129	0.303883	1.335699	
304.854369	6.746788	5.061946	0.304854	1.332845	
305.825243	6.816299	5.051129	0.305825	1.349460	
306.796117	6.851055	5.072762	0.306796	1.350557	
307.766990	6.908981	5.094394	0.307767	1.356193	
308.737864	6.978493	5.094394	0.308738	1.369838	
309.708738	6.990078	5.126842	0.309709	1.363428	
310.679612	7.048004	5.137658	0.310680	1.371832	
311.650485	7.082760	5.137658	0.311650	1.378597	
312.621359	7.105930	5.116026	0.312621	1.388955	
313.592233	7.129101	5.116026	0.313592	1.393484	
314.563107	7.163857	5.094394	0.314563	1.406224	
315.533981	7.175442	5.105210	0.315534	1.405514	
316.504854	7.187027	5.083578	0.316505	1.413773	
317.475728	7.233368	5.083578	0.317476	1.422889	
318.446602	7.268124	5.072762	0.318447	1.432775	
319.417476	7.268124	5.051129	0.319417	1.438911	
320.388350	7.326050	5.061946	0.320388	1.447280	
321.359223	7.372391	5.072762	0.321359	1.453329	
322.330097	7.395562	5.072762	0.322330	1.457897	
323.300971	7.465073	5.094394	0.323301	1.465351	
324.271845	7.476659	5.094394	0.324272	1.467625	
325.242718	7.534585	5.137658	0.325243	1.466541	
326.213592	7.569341	5.137658	0.326214	1.473306	
327.184466	7.592511	5.137658	0.327184	1.477815	
328.155340	7.604096	5.159291	0.328155	1.473865	
329.126214	7.650437	5.159291	0.329126	1.482847	
330.097087	7.662023	5.137658	0.330097	1.491345	
331.067961	7.708364	5.159291	0.331068	1.494074	
332.038835	7.766290	5.148475	0.332039	1.508464	
333.009709	7.801046	5.137658	0.333010	1.518405	
333.980583	7.847387	5.116026	0.333981	1.533883	
334.951456	7.905313	5.105210	0.334951	1.548479	
335.922330	7.928484	5.116026	0.335922	1.549735	
336.893204	7.974825	5.105210	0.336893	1.562095	
337.864078	8.009580	5.105210	0.337864	1.568903	
338.834951	8.055921	5.094394	0.338835	1.581331	
339.805825	8.113848	5.116026	0.339806	1.585967	
340.776699	8.125433	5.116026	0.340777	1.588231	
341.747573	8.171774	5.116026	0.341748	1.597289	
342.718447	8.194944	5.148475	0.342718	1.591723	
343.689320	8.229700	5.170107	0.343689	1.591785	
344.660194	8.276041	5.159291	0.344660	1.604104	
345.631068	8.287626	5.180923	0.345631	1.599643	
346.601942	8.310797	5.180923	0.346602	1.604115	
347.572816	8.345553	5.191739	0.347573	1.607468	
348.543689	8.380309	5.180923	0.348544	1.617532	
349.514563	8.391894	5.170107	0.349515	1.623157	
350.485437	8.415064	5.148475	0.350485	1.634477	
351.456311	8.461405	5.137658	0.351456	1.646938	
352.427184	8.472991	5.148475	0.352427	1.645728	
353.398058	8.472991	5.137658	0.353398	1.649193	
354.368932	8.519332	5.126842	0.354369	1.661711	
355.339806	8.519332	5.126842	0.355340	1.661711	
356.310680	8.554087	5.126842	0.356311	1.668490	
357.281553	8.565673	5.137658	0.357282	1.667233	
358.252427	8.588843	5.137658	0.358252	1.671743	
359.223301	8.612014	5.159291	0.359223	1.669224	
360.194175	8.635184	5.159291	0.360194	1.673715	
361.165049	8.646769	5.170107	0.361165	1.672455	
362.135922	8.716281	5.170107	0.362136	1.685900	
363.106796	8.704696	5.191739	0.363107	1.676644	
364.077670	8.774207	5.180923	0.364078	1.693561	
365.048544	8.785792	5.180923	0.365049	1.695797	
366.019417	8.843719	5.191739	0.366019	1.703421	
366.990291	8.855304	5.191739	0.366990	1.705653	
367.961165	8.913230	5.180923	0.367961	1.720394	
368.932039	8.936401	5.159291	0.368932	1.732099	
369.902913	8.959571	5.180923	0.369903	1.729339	
370.873786	8.971157	5.180923	0.370874	1.731575	
371.844660	8.994327	5.191739	0.371845	1.732431	
372.815534	9.005912	5.180923	0.372816	1.738283	
373.786408	9.029083	5.170107	0.373786	1.746402	
374.757282	9.063839	5.191739	0.374757	1.745819	
375.728155	9.098594	5.191739	0.375728	1.752514	
376.699029	9.133350	5.191739	0.376699	1.759208	
377.669903	9.168106	5.191739	0.377670	1.765903	
378.640777	9.214447	5.202555	0.378641	1.771139	
379.611650	9.237617	5.213371	0.379612	1.771909	
380.582524	9.272373	5.202555	0.380583	1.782273	
381.553398	9.295544	5.202555	0.381553	1.786727	
382.524272	9.376641	5.224187	0.382524	1.794851	
383.495146	9.388226	5.202555	0.383495	1.804541	
384.466019	9.411396	5.213371	0.384466	1.805242	
385.436893	9.411396	5.213371	0.385437	1.805242	
386.407767	9.434567	5.213371	0.386408	1.809686	
387.378641	9.434567	5.213371	0.387379	1.809686	
388.349515	9.446152	5.202555	0.388350	1.815676	
389.320388	9.434567	5.202555	0.389320	1.813449	
390.291262	9.457737	5.213371	0.390291	1.814131	
391.262136	9.492493	5.213371	0.391262	1.820797	
392.233010	9.492493	5.213371	0.392233	1.820797	
393.203883	9.492493	5.213371	0.393204	1.820797	
394.174757	9.527249	5.224187	0.394175	1.823681	
395.145631	9.550419	5.202555	0.395146	1.835717	
396.116505	9.550419	5.213371	0.396117	1.831909	
397.087379	9.596760	5.224187	0.397087	1.836986	
398.058252	9.619931	5.202555	0.398058	1.849078	
399.029126	9.631516	5.224187	0.399029	1.843639	
400.000000	9.631516	5.224187	0.400000	1.843639	
400.970874	9.654687	5.235004	0.400971	1.844256	
401.941748	9.666272	5.235004	0.401942	1.846469	
402.912621	9.677857	5.235004	0.402913	1.848682	
403.883495	9.701028	5.245820	0.403883	1.849287	
404.854369	9.735783	5.267452	0.404854	1.848291	
405.825243	9.735783	5.256636	0.405825	1.852094	
406.796117	9.793710	5.256636	0.406796	1.863114	
407.766990	9.805295	5.267452	0.407767	1.861487	
408.737864	9.840051	5.256636	0.408738	1.871929	
409.708738	9.886392	5.245820	0.409709	1.884623	
410.679612	9.886392	5.256636	0.410680	1.880745	
411.650485	9.921148	5.256636	0.411650	1.887357	
412.621359	9.955903	5.267452	0.412621	1.890080	
413.592233	9.979074	5.256636	0.413592	1.898377	
414.563107	9.979074	5.256636	0.414563	1.898377	
415.533981	10.002244	5.245820	0.415534	1.906708	
416.504854	9.990659	5.267452	0.416505	1.896678	
417.475728	10.013830	5.267452	0.417476	1.901077	
418.446602	10.025415	5.267452	0.418447	1.903276	
419.417476	10.071756	5.278268	0.419417	1.908155	
420.388350	10.106512	5.256636	0.420388	1.922620	
421.359223	10.118097	5.256636	0.421359	1.924824	
422.330097	10.176023	5.278268	0.422330	1.927910	
423.300971	10.187608	5.289084	0.423301	1.926157	
424.271845	10.210779	5.278268	0.424272	1.934494	
425.242718	10.257120	5.299900	0.425243	1.935342	
426.213592	10.257120	5.299900	0.426214	1.935342	
427.184466	10.291876	5.289084	0.427184	1.945871	
428.155340	10.280291	5.299900	0.428155	1.939714	
429.126214	10.280291	5.267452	0.429126	1.951663	
430.097087	10.280291	5.289084	0.430097	1.943681	
431.067961	10.257120	5.289084	0.431068	1.939300	
432.038835	10.257120	5.267452	0.432039	1.947264	
433.009709	10.257120	5.278268	0.433010	1.943274	
433.980583	10.233949	5.267452	0.433981	1.942865	
434.951456	10.257120	5.256636	0.434951	1.951271	
435.922330	10.280291	5.278268	0.435922	1.947664	
436.893204	10.291876	5.256636	0.436893	1.957883	
437.864078	10.338217	5.256636	0.437864	1.966698	
438.834951	10.372973	5.278268	0.438835	1.965223	
439.805825	10.407728	5.267452	0.439806	1.975856	
440.776699	10.442484	5.289084	0.440777	1.974346	
441.747573	10.454069	5.289084	0.441748	1.976537	
442.718447	10.477240	5.310716	0.442718	1.972849	
443.689320	10.477240	5.310716	0.443689	1.972849	
444.660194	10.465655	5.299900	0.444660	1.974689	
445.631068	10.488825	5.310716	0.445631	1.975030	
446.601942	10.488825	5.321532	0.446602	1.971016	
447.572816	10.488825	5.299900	0.447573	1.979061	
448.543689	10.500410	5.289084	0.448544	1.985298	
449.514563	10.488825	5.299900	0.449515	1.979061	
450.485437	10.511996	5.289084	0.450485	1.987489	
451.456311	10.558337	5.267452	0.451456	2.004449	
452.427184	10.569922	5.267452	0.452427	2.006648	
453.398058	10.604678	5.289084	0.453398	2.005012	
454.368932	10.627848	5.278268	0.454369	2.013511	
455.339806	10.639433	5.278268	0.455340	2.015705	
456.310680	10.674189	5.299900	0.456311	2.014036	
457.281553	10.674189	5.289084	0.457282	2.018155	
458.252427	10.685774	5.321532	0.458252	2.008026	
459.223301	10.685774	5.321532	0.459223	2.008026	
460.194175	10.697360	5.310716	0.460194	2.014297	
461.165049	10.685774	5.321532	0.461165	2.008026	
462.135922	10.708945	5.343165	0.462136	2.004233	
463.106796	10.720530	5.321532	0.463107	2.014557	
464.077670	10.732116	5.332349	0.464078	2.012643	
465.048544	10.755286	5.310716	0.465049	2.025204	
466.019417	10.755286	5.310716	0.466019	2.025204	
