Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
286.407767	2.115930	4.996616	0.286408	0.423473	
287.378641	2.104345	4.974984	0.287379	0.422985	
288.349515	2.115930	4.985800	0.288350	0.424391	
289.320388	2.115930	4.974984	0.289320	0.425314	
290.291262	2.150686	4.974984	0.290291	0.432300	
291.262136	2.173856	4.996616	0.291262	0.435066	
292.233010	2.185442	4.985800	0.292233	0.438333	
293.203883	2.208612	4.996616	0.293204	0.442022	
294.174757	2.220197	4.996616	0.294175	0.444340	
295.145631	2.254953	5.007432	0.295146	0.450321	
296.116505	2.266538	5.007432	0.296117	0.452635	
297.087379	2.301294	5.029065	0.297087	0.457599	
298.058252	2.324465	5.007432	0.298058	0.464203	
299.029126	2.324465	4.996616	0.299029	0.465208	
300.000000	2.347635	5.018248	0.300000	0.467820	
300.970874	2.382391	5.018248	0.300971	0.474746	
301.941748	2.405561	4.996616	0.301942	0.481438	
302.912621	2.417147	4.996616	0.302913	0.483757	
303.883495	2.440317	4.996616	0.303883	0.488394	
304.854369	2.463488	4.985800	0.304854	0.494101	
305.825243	2.509829	4.996616	0.305825	0.502306	
306.796117	2.509829	4.985800	0.306796	0.503395	
307.766990	2.521414	4.996616	0.307767	0.504624	
308.737864	2.567755	4.974984	0.308738	0.516133	
309.708738	2.567755	4.964168	0.309709	0.517258	
310.679612	2.602511	4.985800	0.310680	0.521985	
311.650485	2.637267	4.996616	0.311650	0.527811	
312.621359	2.637267	5.007432	0.312621	0.526670	
313.592233	2.660437	4.985800	0.313592	0.533603	
314.563107	2.672022	5.007432	0.314563	0.533611	
315.533981	2.683608	5.018248	0.315534	0.534770	
316.504854	2.718363	5.018248	0.316505	0.541696	
317.475728	2.706778	5.029065	0.317476	0.538227	
318.446602	2.718363	5.018248	0.318447	0.541696	
319.417476	2.741534	5.018248	0.319417	0.546313	
320.388350	2.753119	5.029065	0.320388	0.547442	
321.359223	2.753119	5.018248	0.321359	0.548622	
322.330097	2.764704	5.007432	0.322330	0.552120	
323.300971	2.787875	4.996616	0.323301	0.557953	
324.271845	2.799460	5.018248	0.324272	0.557856	
325.242718	2.845801	5.007432	0.325243	0.568315	
326.213592	2.845801	4.985800	0.326214	0.570781	
327.184466	2.868972	4.996616	0.327184	0.574183	
328.155340	2.880557	4.996616	0.328155	0.576502	
329.126214	2.892142	5.007432	0.329126	0.577570	
330.097087	2.926898	5.007432	0.330097	0.584511	
331.067961	2.938483	4.996616	0.331068	0.588095	
332.038835	2.973239	5.018248	0.332039	0.592485	
333.009709	2.996409	5.018248	0.333010	0.597103	
333.980583	3.007995	5.007432	0.333981	0.600706	
334.951456	3.019580	5.018248	0.334951	0.601720	
335.922330	3.065921	5.039881	0.335922	0.608332	
336.893204	3.089091	5.029065	0.336893	0.614248	
337.864078	3.135432	5.039881	0.337864	0.622124	
338.834951	3.135432	5.050697	0.338835	0.620792	
339.805825	3.170188	5.050697	0.339806	0.627673	
340.776699	3.193359	5.039881	0.340777	0.633618	
341.747573	3.204944	5.029065	0.341748	0.637284	
342.718447	3.228114	5.007432	0.342718	0.644665	
343.689320	3.204944	5.018248	0.343689	0.638658	
344.660194	3.228114	5.007432	0.344660	0.644665	
345.631068	3.216529	5.007432	0.345631	0.642351	
346.601942	3.239700	5.007432	0.346602	0.646978	
347.572816	3.251285	5.007432	0.347573	0.649292	
348.543689	3.239700	4.996616	0.348544	0.648379	
349.514563	3.251285	5.007432	0.349515	0.649292	
350.485437	3.274455	4.996616	0.350485	0.655335	
351.456311	3.297626	5.018248	0.351456	0.657127	
352.427184	3.309211	5.039881	0.352427	0.656605	
353.398058	3.320796	5.029065	0.353398	0.660321	
354.368932	3.320796	5.061513	0.354369	0.656088	
355.339806	3.355552	5.039881	0.355340	0.665800	
356.310680	3.390308	5.039881	0.356311	0.672696	
357.281553	3.390308	5.039881	0.357282	0.672696	
358.252427	3.413478	5.039881	0.358252	0.677293	
359.223301	3.425064	5.050697	0.359223	0.678137	
360.194175	3.436649	5.050697	0.360194	0.680431	
361.165049	3.471405	5.061513	0.361165	0.685843	
362.135922	3.471405	5.039881	0.362136	0.688787	
363.106796	3.471405	5.039881	0.363107	0.688787	
364.077670	3.494575	5.029065	0.364078	0.694876	
365.048544	3.494575	5.029065	0.365049	0.694876	
366.019417	3.506160	5.039881	0.366019	0.695683	
366.990291	3.517746	5.039881	0.366990	0.697982	
367.961165	3.529331	5.018248	0.367961	0.703299	
368.932039	3.540916	5.039881	0.368932	0.702579	
369.902913	3.575672	5.029065	0.369903	0.711001	
370.873786	3.587257	5.050697	0.370874	0.710250	
371.844660	3.610428	5.039881	0.371845	0.716372	
372.815534	3.633598	5.050697	0.372816	0.719425	
373.786408	3.668354	5.072329	0.373786	0.723209	
374.757282	3.679939	5.061513	0.374757	0.727043	
375.728155	3.737865	5.072329	0.375728	0.736913	
376.699029	3.726280	5.083145	0.376699	0.733066	
377.669903	3.761036	5.104777	0.377670	0.736768	
378.640777	3.818962	5.061513	0.378641	0.754510	
379.611650	3.807377	5.061513	0.379612	0.752221	
380.582524	3.830547	5.061513	0.380583	0.756799	
381.553398	3.853718	5.050697	0.381553	0.763007	
382.524272	3.853718	5.061513	0.382524	0.761377	
383.495146	3.876888	5.039881	0.383495	0.769242	
384.466019	3.853718	5.039881	0.384466	0.764645	
385.436893	3.888474	5.007432	0.385437	0.776540	
386.407767	3.900059	5.050697	0.386408	0.772182	
387.378641	3.900059	5.050697	0.387379	0.772182	
388.349515	3.911644	5.061513	0.388350	0.772821	
389.320388	3.934815	5.050697	0.389320	0.779064	
390.291262	3.957985	5.061513	0.390291	0.781977	
391.262136	3.946400	5.061513	0.391262	0.779688	
392.233010	3.969571	5.072329	0.392233	0.782593	
393.203883	3.992741	5.093961	0.393204	0.783818	
394.174757	3.992741	5.083145	0.394175	0.785486	
395.145631	4.027497	5.083145	0.395146	0.792324	
396.116505	4.039082	5.083145	0.396117	0.794603	
397.087379	4.050667	5.093961	0.397087	0.795190	
398.058252	4.073838	5.093961	0.398058	0.799739	
399.029126	4.073838	5.083145	0.399029	0.801440	
400.000000	4.085423	5.083145	0.400000	0.803720	
400.970874	4.085423	5.072329	0.400971	0.805433	
401.941748	4.120179	5.093961	0.401942	0.808836	
402.912621	4.108594	5.061513	0.402913	0.811732	
403.883495	4.120179	5.072329	0.403883	0.812285	
404.854369	4.108594	5.072329	0.404854	0.810001	
405.825243	4.166520	5.039881	0.405825	0.826710	
406.796117	4.178105	5.072329	0.406796	0.823705	
407.766990	4.224446	5.061513	0.407767	0.834621	
408.737864	4.236031	5.093961	0.408738	0.831579	
409.708738	4.259202	5.093961	0.409709	0.836128	
410.679612	4.293958	5.115594	0.410680	0.839386	
411.650485	4.305543	5.104777	0.411650	0.843434	
412.621359	4.351884	5.126410	0.412621	0.848915	
413.592233	4.363469	5.126410	0.413592	0.851174	
414.563107	4.409810	5.126410	0.414563	0.860214	
415.533981	4.421395	5.115594	0.415534	0.864298	
416.504854	4.421395	5.115594	0.416505	0.864298	
417.475728	4.456151	5.115594	0.417476	0.871092	
418.446602	4.479322	5.126410	0.418447	0.873774	
419.417476	4.444566	5.126410	0.419417	0.866994	
420.388350	4.479322	5.126410	0.420388	0.873774	
421.359223	4.490907	5.093961	0.421359	0.881614	
422.330097	4.444566	5.083145	0.422330	0.874373	
423.300971	4.479322	5.083145	0.423301	0.881211	
424.271845	4.467736	5.093961	0.424272	0.877065	
425.242718	4.502492	5.083145	0.425243	0.885769	
426.213592	4.537248	5.072329	0.426214	0.894510	
427.184466	4.525663	5.083145	0.427184	0.890327	
428.155340	4.525663	5.093961	0.428155	0.888437	
