Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
214.563107	1.471790	5.059782	0.214563	0.290880	
215.533981	1.518131	5.070598	0.215534	0.299399	
216.504854	1.541302	5.059782	0.216505	0.304618	
217.475728	1.552887	5.070598	0.217476	0.306253	
218.446602	1.576058	5.081415	0.218447	0.310161	
219.417476	1.610813	5.070598	0.219417	0.317677	
220.388350	1.610813	5.081415	0.220388	0.317001	
221.359223	1.657154	5.103047	0.221359	0.324738	
222.330097	1.633984	5.113863	0.222330	0.319520	
223.300971	1.645569	5.113863	0.223301	0.321786	
224.271845	1.680325	5.103047	0.224272	0.329279	
225.242718	1.703495	5.103047	0.225243	0.333819	
226.213592	1.715081	5.092231	0.226214	0.336803	
227.184466	1.738251	5.070598	0.227184	0.342810	
228.155340	1.784592	5.081415	0.228155	0.351200	
229.126214	1.830933	5.070598	0.229126	0.361088	
230.097087	1.865689	5.081415	0.230097	0.367159	
231.067961	1.900445	5.081415	0.231068	0.373999	
232.038835	1.958371	5.070598	0.232039	0.386221	
233.009709	2.027882	5.092231	0.233010	0.398231	
233.980583	2.062638	5.092231	0.233981	0.405056	
234.951456	2.132150	5.081415	0.234951	0.419598	
235.922330	2.201661	5.081415	0.235922	0.433277	
236.893204	2.224832	5.081415	0.236893	0.437837	
237.864078	2.305928	5.092231	0.237864	0.452833	
238.834951	2.340684	5.070598	0.238835	0.461619	
239.805825	2.363855	5.070598	0.239806	0.466188	
240.776699	2.410196	5.048966	0.240777	0.477364	
241.747573	2.444951	5.059782	0.241748	0.483213	
242.718447	2.491292	5.038150	0.242718	0.494486	
243.689320	2.514463	5.059782	0.243689	0.496951	
244.660194	2.549219	5.048966	0.244660	0.504899	
245.631068	2.583974	5.081415	0.245631	0.508515	
246.601942	2.618730	5.081415	0.246602	0.515355	
247.572816	2.653486	5.070598	0.247573	0.523308	
248.543689	2.688242	5.103047	0.248544	0.526791	
249.514563	2.722997	5.103047	0.249515	0.533602	
250.485437	2.746168	5.103047	0.250485	0.538143	
251.456311	2.804094	5.113863	0.251456	0.548332	
252.427184	2.838850	5.113863	0.252427	0.555128	
253.398058	2.862020	5.092231	0.253398	0.562037	
254.368932	2.908361	5.081415	0.254369	0.572353	
255.339806	2.908361	5.059782	0.255340	0.574800	
256.310680	2.931532	5.059782	0.256311	0.579379	
257.281553	2.954702	5.038150	0.257282	0.586466	
258.252427	2.989458	5.027334	0.258252	0.594641	
259.223301	3.024214	5.005702	0.259223	0.604154	
260.194175	3.058970	5.016518	0.260194	0.609779	
261.165049	3.070555	5.027334	0.261165	0.610772	
262.135922	3.116896	5.048966	0.262136	0.617333	
263.106796	3.151652	5.081415	0.263107	0.620231	
264.077670	3.197993	5.092231	0.264078	0.628014	
265.048544	3.221163	5.103047	0.265049	0.631224	
266.019417	3.244334	5.124679	0.266019	0.633080	
266.990291	3.325431	5.113863	0.266990	0.650278	
267.961165	3.383357	5.124679	0.267961	0.660209	
268.932039	3.406527	5.124679	0.268932	0.664730	
269.902913	3.476039	5.103047	0.269903	0.681169	
270.873786	3.487624	5.070598	0.270874	0.687813	
271.844660	3.545550	5.059782	0.271845	0.700732	
272.815534	3.545550	5.027334	0.272816	0.705255	
273.786408	3.603477	5.005702	0.273786	0.719874	
274.757282	3.649818	4.973253	0.274757	0.733889	
275.728155	3.661403	4.984070	0.275728	0.734621	
276.699029	3.661403	4.994886	0.276699	0.733030	
277.669903	3.719329	5.038150	0.277670	0.738233	
278.640777	3.730914	5.038150	0.278641	0.740533	
279.611650	3.788841	5.048966	0.279612	0.750419	
280.582524	3.788841	5.081415	0.280583	0.745627	
281.553398	3.823596	5.113863	0.281553	0.747692	
282.524272	3.846767	5.135495	0.282524	0.749055	
283.495146	3.893108	5.135495	0.283495	0.758078	
284.466019	3.939449	5.157127	0.284466	0.763884	
285.436893	3.951034	5.157127	0.285437	0.766131	
286.407767	4.008960	5.124679	0.286408	0.782285	
287.378641	4.043716	5.113863	0.287379	0.790736	
288.349515	4.055301	5.113863	0.288350	0.793002	
289.320388	4.090057	5.070598	0.289320	0.806622	
290.291262	4.101642	5.038150	0.290291	0.814117	
291.262136	4.136398	5.027334	0.291262	0.822782	
292.233010	4.159569	5.005702	0.292233	0.830966	
293.203883	4.182739	5.016518	0.293204	0.833793	
294.174757	4.205910	5.016518	0.294175	0.838412	
295.145631	4.240665	5.005702	0.295146	0.847167	
296.116505	4.263836	5.038150	0.296117	0.846310	
297.087379	4.298592	5.081415	0.297087	0.845944	
298.058252	4.333348	5.070598	0.298058	0.854603	
299.029126	4.379689	5.092231	0.299029	0.860073	
300.000000	4.414444	5.103047	0.300000	0.865061	
300.970874	4.460785	5.092231	0.300971	0.875998	
301.941748	4.495541	5.103047	0.301942	0.880952	
302.912621	4.541882	5.103047	0.302913	0.890033	
303.883495	4.565053	5.113863	0.303883	0.892682	
304.854369	4.588223	5.103047	0.304854	0.899114	
305.825243	4.657735	5.092231	0.305825	0.914675	
306.796117	4.669320	5.092231	0.306796	0.916950	
307.766990	4.680905	5.113863	0.307767	0.915336	
308.737864	4.750417	5.092231	0.308738	0.932875	
309.708738	4.762002	5.103047	0.309709	0.933168	
310.679612	4.773587	5.092231	0.310680	0.937426	
311.650485	4.819928	5.103047	0.311650	0.944520	
