Etude: Indentation_Silicone_Rouge_talc_1_1	27/11/2012 18:59:38

Conditions de l'essai:
Type d'indenteur:Sphère	Rayon (mm) :1.590000	Angle (°) :1.590000
Contact:
Seuil de détection (mN): 0.020000	Distance de retrait (µm): 100.000000
Type de test: Deplacement imposé 
Enfoncement (µm): 100.000000
Vitesse de rampe (µm/s): 25.000000	Temps de relaxation (s): 0.000000

Déplacement en Z corrigé (µm):	Effort normal (mN):	Temps (s):	Déflection du capteur (µm):	Déplacement de la table (µm):
0.332453	-0.001502	0.325000
0.283800	-0.001502	0.326000
0.327811	0.005359	0.327000
0.283800	-0.001502	0.328000
0.376465	0.005359	0.329000
0.280319	0.003644	0.330000
0.283800	-0.001502	0.331000
0.328972	0.003644	0.332000
0.332453	-0.001502	0.333000
0.280319	0.003644	0.334000
0.332453	-0.001502	0.335000
0.332453	-0.001502	0.336000
0.332453	-0.001502	0.337000
0.332453	-0.001502	0.338000
0.330132	0.001929	0.339000
0.279158	0.005359	0.340000
0.332453	-0.001502	0.341000
0.283800	-0.001502	0.342000
0.332453	-0.001502	0.343000
0.283800	-0.001502	0.344000
0.280319	0.003644	0.345000
0.279158	0.005359	0.346000
0.327811	0.005359	0.347000
0.376465	0.005359	0.348000
0.326651	0.007074	0.349000
0.376465	0.005359	0.350000
0.283800	-0.001502	0.351000
0.327811	0.005359	0.352000
0.235147	-0.001502	0.353000
0.377625	0.003644	0.354000
0.381107	-0.001502	0.355000
0.326651	0.007074	0.356000
0.327811	0.005359	0.357000
0.381107	-0.001502	0.358000
0.283800	-0.001502	0.359000
0.283800	-0.001502	0.360000
0.376465	0.005359	0.361000
0.281479	0.001929	0.362000
0.332453	-0.001502	0.363000
0.332453	-0.001502	0.364000
0.328972	0.003644	0.365000
0.328972	0.003644	0.366000
0.281479	0.001929	0.367000
0.277998	0.007074	0.368000
0.280319	0.003644	0.369000
0.283800	-0.001502	0.370000
0.231665	0.003644	0.371000
0.283800	-0.001502	0.372000
0.377625	0.003644	0.373000
0.381107	-0.001502	0.374000
0.283800	-0.001502	0.375000
0.281479	0.001929	0.376000
0.332453	-0.001502	0.377000
0.281479	0.001929	0.378000
0.283800	-0.001502	0.379000
0.283800	-0.001502	0.380000
0.235147	-0.001502	0.381000
0.283800	-0.001502	0.382000
0.332453	-0.001502	0.383000
0.283800	-0.001502	0.384000
0.327811	0.005359	0.385000
0.327811	0.005359	0.386000
0.283800	-0.001502	0.387000
0.283800	-0.001502	0.388000
0.235147	-0.001502	0.389000
0.332453	-0.001502	0.390000
0.332453	-0.001502	0.391000
0.279158	0.005359	0.392000
0.330132	0.001929	0.393000
0.283800	-0.001502	0.394000
0.381107	-0.001502	0.395000
0.327811	0.005359	0.396000
0.332453	-0.001502	0.397000
0.381107	-0.001502	0.398000
0.332453	-0.001502	0.399000
0.332453	-0.001502	0.400000
0.332453	-0.001502	0.401000
0.381107	-0.001502	0.402000
0.330132	0.001929	0.403000
0.377625	0.003644	0.404000
0.280319	0.003644	0.405000
0.332453	-0.001502	0.406000
0.283800	-0.001502	0.407000
0.332453	-0.001502	0.408000
0.381107	-0.001502	0.409000
0.328972	0.003644	0.410000
0.283800	-0.001502	0.411000
0.283800	-0.001502	0.412000
0.235147	-0.001502	0.413000
0.332453	-0.001502	0.414000
0.381107	-0.001502	0.415000
0.332453	-0.001502	0.416000
0.281479	0.001929	0.417000
0.378786	0.001929	0.418000
0.332453	-0.001502	0.419000
0.381107	-0.001502	0.420000
0.279158	0.005359	0.421000
0.332453	-0.001502	0.422000
0.332453	-0.001502	0.423000
0.283800	-0.001502	0.424000
0.332453	-0.001502	0.425000
0.332453	-0.001502	0.426000
0.332453	-0.001502	0.427000
0.327811	0.005359	0.428000
0.332453	-0.001502	0.429000
0.328972	0.003644	0.430000
0.280319	0.003644	0.431000
0.332453	-0.001502	0.432000
0.332453	-0.001502	0.433000
0.279158	0.005359	0.434000
0.332453	-0.001502	0.435000
0.332453	-0.001502	0.436000
0.328972	0.003644	0.437000
0.332453	-0.001502	0.438000
0.283800	-0.001502	0.439000
0.283800	-0.001502	0.440000
0.283800	-0.001502	0.441000
0.328972	0.003644	0.442000
0.332453	-0.001502	0.443000
0.332453	-0.001502	0.444000
0.332453	-0.001502	0.445000
0.283800	-0.001502	0.446000
0.279158	0.005359	0.447000
0.332453	-0.001502	0.448000
0.332453	-0.001502	0.449000
0.332453	-0.001502	0.450000
0.279158	0.005359	0.451000
0.378786	0.001929	0.452000
0.328972	0.003644	0.453000
0.283800	-0.001502	0.454000
0.330132	0.001929	0.455000
0.280319	0.003644	0.456000
0.283800	-0.001502	0.457000
0.383427	-0.004932	0.458000
0.330132	0.001929	0.459000
0.279158	0.005359	0.460000
0.327811	0.005359	0.461000
0.328972	0.003644	0.462000
0.332453	-0.001502	0.463000
0.281479	0.001929	0.464000
0.330132	0.001929	0.465000
0.332453	-0.001502	0.466000
0.327811	0.005359	0.467000
0.230505	0.005359	0.468000
0.381107	-0.001502	0.469000
0.332453	-0.001502	0.470000
0.279158	0.005359	0.471000
0.332453	-0.001502	0.472000
0.283800	-0.001502	0.473000
0.283800	-0.001502	0.474000
0.235147	-0.001502	0.475000
0.332453	-0.001502	0.476000
0.330132	0.001929	0.477000
0.332453	-0.001502	0.478000
0.332453	-0.001502	0.479000
0.283800	-0.001502	0.480000
0.333614	-0.003217	0.481000
0.286121	-0.004932	0.482000
0.328972	0.003644	0.483000
0.283800	-0.001502	0.484000
0.332453	-0.001502	0.485000
0.328972	0.003644	0.486000
0.332453	-0.001502	0.487000
0.332453	-0.001502	0.488000
0.332453	-0.001502	0.489000
0.381107	-0.001502	0.490000
0.332453	-0.001502	0.491000
0.333614	-0.003217	0.492000
0.283800	-0.001502	0.493000
0.231665	0.003644	0.494000
0.332453	-0.001502	0.495000
0.328972	0.003644	0.496000
0.332453	-0.001502	0.497000
0.332453	-0.001502	0.498000
0.279158	0.005359	0.499000
0.327811	0.005359	0.500000
0.381107	-0.001502	0.501000
0.330132	0.001929	0.502000
0.381107	-0.001502	0.503000
0.327811	0.005359	0.504000
0.381107	-0.001502	0.505000
0.279158	0.005359	0.506000
0.280319	0.003644	0.507000
0.281479	0.001929	0.508000
0.281479	0.001929	0.509000
0.283800	-0.001502	0.510000
0.279158	0.005359	0.511000
0.332453	-0.001502	0.512000
0.376465	0.005359	0.513000
0.332453	-0.001502	0.514000
0.378786	0.001929	0.515000
0.381107	-0.001502	0.516000
0.381107	-0.001502	0.517000
0.378786	0.001929	0.518000
0.280319	0.003644	0.519000
0.328972	0.003644	0.520000
0.332453	-0.001502	0.521000
0.328972	0.003644	0.522000
0.377625	0.003644	0.523000
0.283800	-0.001502	0.524000
0.280319	0.003644	0.525000
0.330132	0.001929	0.526000
0.378786	0.001929	0.527000
0.279158	0.005359	0.528000
0.283800	-0.001502	0.529000
0.332453	-0.001502	0.530000
0.328972	0.003644	0.531000
0.377625	0.003644	0.532000
0.231665	0.003644	0.533000
0.330132	0.001929	0.534000
0.377625	0.003644	0.535000
0.332453	-0.001502	0.536000
0.328972	0.003644	0.537000
0.281479	0.001929	0.538000
0.328972	0.003644	0.539000
0.283800	-0.001502	0.540000
0.381107	-0.001502	0.541000
0.327811	0.005359	0.542000
0.377625	0.003644	0.543000
0.328972	0.003644	0.544000
0.332453	-0.001502	0.545000
0.332453	-0.001502	0.546000
0.328972	0.003644	0.547000
0.333614	-0.003217	0.548000
0.332453	-0.001502	0.549000
0.284961	-0.003217	0.550000
0.332453	-0.001502	0.551000
0.332453	-0.001502	0.552000
0.381107	-0.001502	0.553000
0.281479	0.001929	0.554000
0.332453	-0.001502	0.555000
0.333614	-0.003217	0.556000
0.381107	-0.001502	0.557000
0.332453	-0.001502	0.558000
0.334774	-0.004932	0.559000
0.332453	-0.001502	0.560000
0.283800	-0.001502	0.561000
0.284961	-0.003217	0.562000
0.378786	0.001929	0.563000
0.332453	-0.001502	0.564000
0.332453	-0.001502	0.565000
0.381107	-0.001502	0.566000
0.330132	0.001929	0.567000
0.328972	0.003644	0.568000
0.332453	-0.001502	0.569000
0.332453	-0.001502	0.570000
0.332453	-0.001502	0.571000
0.332453	-0.001502	0.572000
0.332453	-0.001502	0.573000
0.332453	-0.001502	0.574000
0.381107	-0.001502	0.575000
0.332453	-0.001502	0.576000
0.332453	-0.001502	0.577000
