Etude: Indentation_Silicone_Vert_talc_1_1	27/11/2012 18:44:25

Conditions de l'essai:
Type d'indenteur:Sphère	Rayon (mm) :1.590000	Angle (°) :1.590000
Contact:
Seuil de détection (mN): 0.020000	Distance de retrait (µm): 100.000000
Type de test: Deplacement imposé 
Enfoncement (µm): 100.000000
Vitesse de rampe (µm/s): 25.000000	Temps de relaxation (s): 0.000000

Déplacement en Z corrigé (µm):	Effort normal (mN):	Temps (s):	Déflection du capteur (µm):	Déplacement de la table (µm):
0.286293	-0.005186	0.455000
0.286293	-0.005186	0.456000
0.334946	-0.005186	0.457000
0.283972	-0.001755	0.458000
0.287453	-0.006901	0.459000
0.286293	-0.005186	0.460000
0.331465	-0.000040	0.461000
0.286293	-0.005186	0.462000
0.286293	-0.005186	0.463000
0.334946	-0.005186	0.464000
0.334946	-0.005186	0.465000
0.336107	-0.006901	0.466000
0.334946	-0.005186	0.467000
0.334946	-0.005186	0.468000
0.288614	-0.008616	0.469000
0.286293	-0.005186	0.470000
0.384760	-0.006901	0.471000
0.383599	-0.005186	0.472000
0.383599	-0.005186	0.473000
0.334946	-0.005186	0.474000
0.336107	-0.006901	0.475000
0.286293	-0.005186	0.476000
0.334946	-0.005186	0.477000
0.334946	-0.005186	0.478000
0.383599	-0.005186	0.479000
0.286293	-0.005186	0.480000
0.330304	0.001675	0.481000
0.286293	-0.005186	0.482000
0.334946	-0.005186	0.483000
0.237640	-0.005186	0.484000
0.286293	-0.005186	0.485000
0.336107	-0.006901	0.486000
0.286293	-0.005186	0.487000
0.334946	-0.005186	0.488000
0.286293	-0.005186	0.489000
0.383599	-0.005186	0.490000
0.334946	-0.005186	0.491000
0.337267	-0.008616	0.492000
0.337267	-0.008616	0.493000
0.334946	-0.005186	0.494000
0.337267	-0.008616	0.495000
0.288614	-0.008616	0.496000
0.334946	-0.005186	0.497000
0.287453	-0.006901	0.498000
0.334946	-0.005186	0.499000
0.283972	-0.001755	0.500000
0.188986	-0.005186	0.501000
0.286293	-0.005186	0.502000
0.286293	-0.005186	0.503000
0.282811	-0.000040	0.504000
0.286293	-0.005186	0.505000
0.380118	-0.000040	0.506000
0.287453	-0.006901	0.507000
0.334946	-0.005186	0.508000
0.334946	-0.005186	0.509000
0.334946	-0.005186	0.510000
0.286293	-0.005186	0.511000
0.334946	-0.005186	0.512000
0.286293	-0.005186	0.513000
0.334946	-0.005186	0.514000
0.429931	-0.001755	0.515000
0.337267	-0.008616	0.516000
0.281651	0.001675	0.517000
0.282811	-0.000040	0.518000
0.331465	-0.000040	0.519000
0.383599	-0.005186	0.520000
0.330304	0.001675	0.521000
0.334946	-0.005186	0.522000
0.336107	-0.006901	0.523000
0.334946	-0.005186	0.524000
0.380118	-0.000040	0.525000
0.286293	-0.005186	0.526000
0.334946	-0.005186	0.527000
0.383599	-0.005186	0.528000
0.384760	-0.006901	0.529000
0.336107	-0.006901	0.530000
0.380118	-0.000040	0.531000
0.286293	-0.005186	0.532000
0.334946	-0.005186	0.533000
0.334946	-0.005186	0.534000
0.287453	-0.006901	0.535000
0.334946	-0.005186	0.536000
0.383599	-0.005186	0.537000
0.383599	-0.005186	0.538000
0.281651	0.001675	0.539000
0.380118	-0.000040	0.540000
0.286293	-0.005186	0.541000
0.286293	-0.005186	0.542000
0.286293	-0.005186	0.543000
0.334946	-0.005186	0.544000
0.327983	0.005105	0.545000
0.330304	0.001675	0.546000
0.334946	-0.005186	0.547000
0.286293	-0.005186	0.548000
0.383599	-0.005186	0.549000
0.332625	-0.001755	0.550000
0.286293	-0.005186	0.551000
0.334946	-0.005186	0.552000
0.331465	-0.000040	0.553000
0.334946	-0.005186	0.554000
0.334946	-0.005186	0.555000
0.334946	-0.005186	0.556000
0.334946	-0.005186	0.557000
0.384760	-0.006901	0.558000
0.282811	-0.000040	0.559000
0.286293	-0.005186	0.560000
0.334946	-0.005186	0.561000
0.286293	-0.005186	0.562000
0.286293	-0.005186	0.563000
0.383599	-0.005186	0.564000
0.330304	0.001675	0.565000
0.334946	-0.005186	0.566000
0.330304	0.001675	0.567000
0.334946	-0.005186	0.568000
0.336107	-0.006901	0.569000
0.286293	-0.005186	0.570000
0.334946	-0.005186	0.571000
0.334946	-0.005186	0.572000
0.383599	-0.005186	0.573000
0.336107	-0.006901	0.574000
0.334946	-0.005186	0.575000
0.332625	-0.001755	0.576000
0.282811	-0.000040	0.577000
0.334946	-0.005186	0.578000
0.286293	-0.005186	0.579000
0.288614	-0.008616	0.580000
0.286293	-0.005186	0.581000
0.286293	-0.005186	0.582000
0.334946	-0.005186	0.583000
0.334946	-0.005186	0.584000
0.384760	-0.006901	0.585000
0.383599	-0.005186	0.586000
0.286293	-0.005186	0.587000
0.337267	-0.008616	0.588000
0.336107	-0.006901	0.589000
0.334946	-0.005186	0.590000
0.286293	-0.005186	0.591000
0.289774	-0.010331	0.592000
0.334946	-0.005186	0.593000
0.334946	-0.005186	0.594000
0.334946	-0.005186	0.595000
0.334946	-0.005186	0.596000
0.286293	-0.005186	0.597000
0.336107	-0.006901	0.598000
0.334946	-0.005186	0.599000
0.286293	-0.005186	0.600000
0.331465	-0.000040	0.601000
0.286293	-0.005186	0.602000
0.334946	-0.005186	0.603000
0.384760	-0.006901	0.604000
0.331465	-0.000040	0.605000
