Déplacement en Z corrigé (µm)	Effort normal (mN)
33,192498	0,000433
33,250998	-0,0212
33,302632	-0,010383
33,360595	0,000433
33,415796	0,000433
33,477595	-0,0212
33,532528	-0,0212
33,590759	-0,0212
33,659156	-0,032016
33,707491	-0,042832
33,769022	-0,042832
33,820655	-0,032016
33,865423	-0,032016
33,923654	-0,032016
33,968421	-0,0212
34,013188	-0,010383
34,054388	-0,0212
34,105753	0,000433
34,143922	-0,010383
34,191719	0,000433
34,222753	0,000433
34,260654	0,011249
34,301853	-0,032016
34,356517	-0,032016
34,397717	-0,0212
34,438916	-0,0212
34,473249	-0,032016
34,521315	-0,053648
34,576248	-0,042832
34,624314	-0,042832
34,668812	-0,042832
34,716878	-0,042832
34,785275	-0,053648
34,836909	-0,032016
34,888543	-0,032016
34,950073	-0,010383
35,012141	-0,032016
35,073671	-0,0212
35,125574	-0,010383
35,173909	0,000433
35,242574	0,000433
35,304105	-0,010383
35,355739	-0,010383
35,407372	-0,0212
35,462305	-0,010383
35,523835	-0,0212
35,571901	-0,042832
35,619967	-0,053648
35,671332	-0,042832
35,722697	-0,032016
35,770763	-0,042832
35,808664	-0,0212
35,85673	-0,0212
35,897929	-0,032016
35,93583	-0,010383
35,980597	-0,010383
36,025096	-0,010383
36,066564	-0,010383
36,117929	0,011249
36,162696	0,000433
36,210762	0,000433
36,255529	-0,010383
36,323657	0,000433
36,37859	-0,010383
36,423357	-0,010383
36,47829	-0,032016
36,536521	-0,0212
36,591185	-0,0212
36,642819	-0,032016
36,690885	-0,042832
36,738951	-0,032016
36,793883	-0,042832
36,838382	-0,032016
36,87985	-0,042832
36,927916	-0,0212
36,969384	-0,010383
37,024048	-0,0212
37,068815	-0,0212
37,106716	0,011249
37,144616	-0,0212
37,192682	0,000433
37,244047	-0,0212
37,292113	-0,0212
37,343478	-0,010383
37,388246	-0,0212
37,446477	-0,010383
37,501141	-0,0212
37,552506	-0,032016
37,60414	-0,0212
37,66264	-0,032016
37,720871	-0,032016
37,769206	-0,042832
37,824139	-0,0212
37,889237	-0,032016
37,937572	-0,0212
37,992504	-0,010383
38,04057	0,000433
38,095503	0,011249
38,136971	-0,010383
38,188336	0,000433
38,229536	0,000433
38,280901	0,000433
38,318801	0,000433
38,356433	-0,010383
38,397632	0,000433
38,44543	-0,010383
38,48333	-0,042832
38,52453	-0,032016
38,569028	-0,032016
38,620393	-0,042832
38,658294	-0,032016
38,709659	-0,042832
38,754426	-0,032016
38,805791	-0,032016
38,854125	-0,010383
38,898893	-0,032016
38,963991	-0,010383
39,018923	-0,010383
39,063959	0,000433
39,135655	-0,010383
39,190856	-0,010383
39,252387	0,000433
39,314186	0,000433
39,36582	0,000433
39,430918	0,000433
39,482552	0,000433
39,533917	-0,032016
39,585282	-0,032016
39,643782	-0,0212
39,68828	-0,0212
39,736346	-0,032016
39,780845	-0,010383
39,815446	-0,0212
39,859945	-0,0212
39,890979	-0,010383
39,928879	-0,010383
39,959913	-0,0212
39,990947	-0,0212
40,038744	-0,010383
40,083512	-0,032016
40,124711	0,000433
40,172777	-0,010383
40,220843	-0,0212
40,279075	0,000433
40,330708	-0,0212
40,395806	-0,0212
40,467502	0,000433
40,532869	-0,0212
40,594668	-0,0212
40,659767	-0,0212
40,732	-0,0212
40,797098	-0,0212
40,855598	0,011249
40,917398	-0,032016
40,972599	-0,010383
41,040996	-0,0212
41,082464	-0,0212
41,137397	-0,0212
41,182164	-0,0212
41,233529	0,000433
41,281595	0,000433
41,312629	-0,010383
41,353828	-0,0212
41,395028	-0,010383
41,436227	-0,010383
41,477427	-0,042832
41,528523	-0,0212
41,569722	-0,032016
41,61449	-0,032016
41,662556	-0,032016
41,713921	-0,042832
41,762255	-0,042832
41,820487	-0,032016
41,868553	-0,010383
41,927053	-0,010383
41,981986	-0,0212
42,047084	-0,010383
42,102017	0,000433
42,160517	0,011249
42,222047	-0,010383
42,27395	0,011249
42,332181	0,000433
42,383546	-0,0212
42,431881	-0,010383
42,486545	0,000433
42,534611	-0,010383
42,569213	0,000433
42,623876	-0,0212
42,665076	0,000433
42,706275	-0,010383
42,740608	-0,0212
42,781808	-0,042832
42,799377	-0,0212
42,853772	-0,032016
