Déplacement en Z corrigé (µm)	Effort normal (mN)						
16,125485	-0,019036						
16,160087	-0,029853						
16,211452	-0,040669						
16,239187	-0,019036						
16,286984	-0,019036						
16,328184	0,013412						
16,359486	0,013412						
16,397118	-0,00822						
16,445184	-0,019036						
16,476218	0,002596						
16,530882	-0,00822						
16,578948	-0,00822						
16,620148	-0,00822						
16,678379	-0,019036						
16,733043	-0,029853						
16,791543	-0,029853						
16,849775	-0,019036						
16,904707	-0,029853						
16,969806	-0,00822						
17,025007	-0,019036						
17,086806	-0,029853						
17,138171	-0,00822						
17,196671	-0,029853						
17,255172	-0,029853						
17,299939	-0,019036						
17,351304	-0,00822						
17,392772	0,002596						
17,451003	-0,00822						
17,482306	-0,00822						
17,530104	-0,019036						
17,567735	-0,029853						
17,605367	-0,00822						
17,650134	-0,019036						
17,694633	-0,019036						
17,732533	-0,019036						
17,770165	-0,029853						
17,807797	-0,029853						
17,859162	-0,040669						
17,907228	-0,040669						
17,945397	-0,040669						
17,996762	-0,040669						
18,048127	-0,019036						
18,113225	-0,019036						
18,16156	-0,00822						
18,216493	-0,019036						
18,261528	0,002596						
18,330194	-0,00822						
18,391725	0,002596						
18,456823	0,002596						
18,512024	-0,019036						
18,570256	0,002596						
18,632055	-0,00822						
18,686987	-0,019036						
18,738352	-0,00822						
18,796584	-0,019036						
18,837783	-0,019036						
18,868817	-0,029853						
18,913316	-0,040669						
18,947917	-0,040669						
18,992416	-0,040669						
19,030048	-0,040669						
19,057783	-0,019036						
19,098713	-0,019036						
19,139913	-0,040669						
19,177813	-0,00822						
19,22258	0,002596						
19,267348	0,002596						
19,318713	-0,00822						
19,366779	0,013412						
19,42501	0,013412						
19,483242	0,024228						
19,531576	0,002596						
19,589808	-0,00822						
19,651607	0,002596						
19,70654	0,013412						
19,764771	-0,029853						
19,812837	-0,00822						
19,871069	-0,029853						
19,919135	-0,029853						
19,967201	-0,029853						
20,015267	-0,00822						
20,056735	-0,019036						
20,104801	0,002596						
20,142702	-0,00822						
20,1872	-0,00822						
20,228668	0,002596						
20,280033	0,002596						
20,331667	0,024228						
20,372867	0,002596						
20,42753	0,002596						
20,468999	0,013412						
20,534097	0,002596						
20,592328	-0,00822						
20,643962	-0,019036						
20,702194	-0,029853						
20,763993	-0,051485						
20,822224	-0,019036						
20,880456	-0,029853						
20,935388	-0,029853						
20,990321	-0,040669						
21,045254	-0,029853						
21,093588	-0,019036						
21,141654	-0,029853						
21,203185	-0,019036						
21,241354	0,002596						
21,286121	0,002596						
21,334187	0,002596						
21,385552	0,013412						
21,427021	0,002596						
21,475087	0,024228						
21,512987	0,002596						
21,560784	-0,019036						
21,612149	-0,040669						
21,65005	-0,019036						
21,687951	-0,040669						
21,742346	-0,029853						
21,776947	-0,029853						
21,831611	-0,040669						
21,872811	-0,040669						
21,920877	-0,029853						
21,962345	-0,029853						
22,020576	-0,029853						
22,075778	-0,040669						
22,134009	-0,019036						
22,195809	-0,00822						
22,254309	-0,00822						
22,316108	-0,019036						
22,378176	0,002596						
22,446573	0,002596						
22,515239	0,013412						
22,580606	0,013412						
22,638837	0,002596						
22,703935	0,013412						
22,762167	0,002596						
22,820398	-0,019036						
22,875062	-0,019036						
22,906365	-0,019036						
22,95773	-0,019036						
22,992063	-0,029853						
23,036561	-0,029853						
23,060729	-0,029853						
23,091762	-0,00822						
23,129394	-0,029853						
23,160428	0,002596						
23,19503	-0,00822						
23,229363	0,002596						
23,256829	0,002596						
23,29473	0,002596						
23,346095	0,002596						
23,387563	0,002596						
23,442227	0,002596						
23,503757	0,002596						
23,565288	0,013412						
23,620489	-0,00822						
23,688886	-0,00822						
23,747386	-0,019036						
23,809185	-0,051485						
23,88115	-0,019036						
23,942949	-0,029853						
24,00145	-0,029853						
24,070115	-0,029853						
24,125048	-0,019036						
24,190146	0,002596						
24,238481	-0,00822						
24,290115	0,013412						
24,345047	0,002596						
24,396412	0,002596						
24,43788	0,002596						
24,485946	0,002596						
24,523847	0,002596						
24,571913	0,024228						
24,616411	-0,029853						
24,654312	-0,019036						
24,69881	-0,019036						
24,746608	-0,00822						
24,787807	-0,00822						
24,835873	-0,019036						
24,877073	-0,029853						
24,928438	-0,029853						
24,98337	0,002596						
25,031436	-0,019036						
25,079771	0,002596						
25,148168	0,013412						
25,193204	0,002596						
25,251435	0,013412						
25,309936	0,013412						
25,371735	0,024228						
25,426668	0,024228						
25,4816	0,013412						
25,536533	0,002596						
25,591465	0,002596						
25,639531	-0,00822						
25,684299	-0,019036						
25,732096	-0,00822						
25,780162	-0,029853						
25,82466	-0,00822						
25,86889	-0,019036						
25,900193	-0,029853						
25,944691	-0,040669						
25,979024	-0,040669						
26,020223	-0,019036						
26,058124	-0,019036						
26,099592	-0,029853						
26,150957	-0,019036						
26,192425	-0,019036						
26,24379	0,002596						
26,298723	0,002596						
26,353656	0,002596						
26,408588	0,002596						
26,470387	0,002596						
26,525589	0,013412						
26,590149	-0,00822						
26,641783	-0,019036						
26,703582	-0,019036						
26,755216	0,002596						
26,803282	-0,019036						
26,854647	-0,019036						
26,919745	-0,019036						
26,960945	-0,029853						
26,999114	-0,029853						
27,053778	-0,019036						
27,095246	-0,040669						
27,140013	-0,019036						
27,184511	-0,019036						
27,222412	-0,019036						
27,270478	-0,00822						
27,315245	0,002596						
27,356445	0,002596						
27,40781	0,013412						
27,459175	0,013412						
27,507241	0,013412						
27,558606	0,002596						
27,60997	-0,00822						
27,661604	-0,00822						
27,716268	-0,00822						
27,764603	-0,019036						
27,822834	-0,019036						
27,881066	-0,029853						
27,939297	-0,029853						
27,99423	-0,040669						
28,035698	-0,019036						
28,090631	0,002596						
28,141996	0,002596						
28,19363	-0,00822						
28,248562	0,013412						
28,29003	0,002596						
28,338096	0,002596						
28,386162	0,013412						
28,434228	0,024228						
28,475428	0,035044						
28,520195	0,002596						
28,561126	-0,019036						
28,605624	-0,019036						
28,646824	-0,019036						
28,681425	0,002596						
28,722356	-0,029853						
28,763555	-0,019036						
28,797888	-0,029853						
28,849253	-0,040669						
28,897319	-0,040669						
28,93522	-0,019036						
28,989884	-0,00822						
29,038219	-0,019036						
29,100018	-0,00822						
29,15495	0,002596						
29,206584	-0,019036						
29,265084	0,013412						
29,33375	0,002596						
29,39225	0,002596						
29,45405	-0,00822						
29,515849	0,013412						
29,580947	0,013412						
29,639178	0,002596						
29,694111	-0,00822						
29,749044	0,013412						
29,800409	-0,019036						
29,848475	-0,029853						
29,89984	-0,029853						
29,947906	-0,029853						
29,992404	-0,019036						
30,033872	-0,019036						
30,068474	-0,019036						
30,109673	-0,040669						
30,161038	-0,019036						
30,202507	0,002596						
30,253872	-0,00822						
30,301938	-0,019036						
30,346705	0,002596						
30,398338	0,013412						
30,443106	0,002596						
30,507935	-0,00822						
30,562599	-0,019036						
30,624398	-0,00822						
30,672464	-0,019036						
30,727665	-0,019036						
30,792495	-0,019036						
30,850995	-0,029853						
30,909227	-0,029853						
30,967458	-0,029853						
31,029257	-0,051485						
31,084459	-0,019036						
31,136092	-0,019036						
31,194324	-0,029853						
31,245958	-0,00822						
31,304458	-0,019036						
31,359122	-0,00822						
31,397291	-0,00822						
31,448656	-0,00822						
31,503589	0,013412						
31,554954	-0,00822						
31,589555	0,002596						
31,630755	-0,029853						
31,675253	-0,029853						
31,733485	-0,029853						
31,774953	-0,029853						
31,826049	-0,040669						
31,870547	-0,029853						
31,918613	-0,019036						
31,973546	-0,029853						
32,02518	-0,029853						
32,073246	-0,040669						
32,128178	-0,00822						
32,196575	-0,019036						
32,251777	-0,00822						
32,293245	-0,00822						
32,351477	-0,00822						
32,409708	-0,00822						
32,458043	0,002596						
32,50281	0,002596						
32,547308	0,002596						
32,60554	0,013412						
32,650038	-0,019036						
32,694805	0,002596						
32,739304	-0,00822						
32,773637	-0,040669						
32,814836	-0,00822						
32,859335	-0,029853						
32,900534	-0,019036						
32,934867	-0,051485						
32,975798	-0,029853						
33,013967	-0,029853						
33,062033	-0,040669						
33,113398	-0,019036						
33,148	-0,00822						
33,206231	-0,00822						
33,257865	0,002596						
33,319664	-0,019036						
33,374597	0,024228						
33,429798	0,002596						
33,498195	0,002596						
33,556695	0,002596						
33,628391	0,002596						
33,69019	0,002596						
33,75199	0,013412						
33,806922	-0,029853						
33,865154	-0,00822						
33,916787	-0,00822						
33,968421	-0,029853						
34,019786	-0,040669						
34,060986	-0,040669						
34,112351	-0,019036						
34,15052	-0,019036						
34,195018	-0,00822						
34,226052	-0,00822						
34,260385	0,002596						
34,294718	-0,00822						
34,342784	0,013412						
34,380685	0,013412						
34,421884	-0,019036						
34,463084	0,002596						
34,494117	0,002596						
34,55208	0,013412						
34,600415	-0,00822						
34,65178	-0,00822						
34,709743	-0,00822						
34,754779	-0,040669						
34,823176	-0,040669						
34,881676	-0,040669						
34,946505	-0,00822						
35,001707	-0,029853						
35,063506	-0,029853						
35,128604	-0,029853						
35,176939	-0,040669						
35,235439	-0,019036						
35,297238	-0,00822						
35,348872	-0,00822						
35,403536	-0,019036						
35,452139	0,002596						
35,51367	0,002596						
35,561736	0,002596						
35,609802	-0,00822						
35,657868	-0,019036						
35,705934	-0,00822						
35,743835	-0,019036						
35,79823	-0,019036						
35,832831	0,002596						
35,880897	-0,029853						
35,928695	-0,040669						
35,973193	-0,019036						
36,014393	-0,029853						
36,055861	-0,029853						
36,103927	-0,019036						
36,148694	-0,019036						
36,189893	-0,00822						
36,23466	0,002596						
36,292892	0,002596						
36,33436	0,024228						
36,389293	-0,00822						
36,447256	0,013412						
36,49559	0,013412						
36,550523	0,013412						 
36,59529	0,024228						
36,656821	0,013412						
36,704887	0,013412						
36,752953	-0,00822						
36,810916	-0,019036						
36,858982	0,002596						
36,900181	-0,019036						
36,931484	-0,019036						
36,986148	-0,019036						
37,034214	-0,029853						
37,075413	-0,029853						
37,119911	-0,00822						
