Déplacement en Z corrigé (µm)	Effort normal (mN)
5,891255	-0,027257
5,932454	-0,027257
5,973654	-0,038073
6,011285	-0,038073
6,048917	-0,027257
6,086818	-0,038073
6,134884	-0,038073
6,189816	-0,038073
6,231016	-0,027257
6,279082	-0,027257
6,337582	-0,005624
6,405979	-0,005624
6,447716	-0,016441
6,509515	-0,005624
6,574882	-0,005624
6,650146	0,005192
6,708646	-0,005624
6,777043	-0,005624
6,839111	0,005192
6,90091	-0,005624
6,96271	0,005192
7,031107	-0,005624
7,086039	-0,005624
7,134105	-0,016441
7,178604	-0,005624
7,22667	-0,016441
7,274736	-0,016441
7,315935	-0,016441
7,353567	-0,027257
7,378003	-0,005624
7,409037	-0,016441
7,446669	-0,016441
7,474404	-0,027257
7,508737	-0,005624
7,549668	-0,005624
7,580702	-0,016441
7,618333	0,005192
7,666399	-0,005624
7,707868	-0,005624
7,762531	-0,016441
7,824062	-0,016441
7,885861	-0,027257
7,950959	-0,038073
8,012758	-0,027257
8,084992	-0,027257
8,156957	-0,038073
8,225622	-0,027257
8,301155	-0,016441
8,373388	-0,027257
8,435187	-0,016441
8,497255	0,016008
8,565921	-0,016441
8,631019	-0,005624
8,682653	-0,005624
8,730719	0,005192
8,782353	-0,005624
8,833718	0,026824
8,874917	0,005192
8,905951	0,005192
8,943583	0,005192
8,974617	-0,005624
9,012249	-0,038073
9,039715	-0,016441
9,077347	-0,038073
9,101514	-0,027257
9,139146	-0,027257
9,173479	-0,027257
9,214678	-0,027257
9,266043	-0,038073
9,307511	-0,027257
9,365743	-0,005624
9,420676	0,005192
9,478907	0,005192
9,534108	0,016008
9,589041	0,016008
9,661006	0,048456
9,723074	0,016008
9,788172	0,016008
9,856838	0,016008
9,921936	-0,005624
9,983735	-0,016441
10,048833	0,005192
10,113931	-0,016441
10,172431	-0,005624
10,220497	-0,027257
10,271862	-0,027257
10,323496	-0,005624
10,361397	-0,016441
10,412762	0,016008
10,450662	-0,005624
10,475098	0,005192
10,526194	-0,005624
10,564095	-0,005624
10,598428	0,005192
10,636328	0,005192
10,687693	-0,016441
10,725863	0,016008
10,780527	0,005192
10,828593	-0,005624
10,883525	0,005192
10,941757	0,016008
11,013453	0,005192
11,061788	-0,005624
11,123318	-0,016441
11,174952	0,005192
11,236751	-0,016441
11,291684	-0,005624
11,33975	-0,016441
11,397981	-0,027257
11,449615	-0,005624
11,491083	0,005192
11,522117	0,016008
11,570183	0,03764
11,608084	-0,005624
11,649283	0,005192
11,673719	0,005192
11,724815	0,016008
11,759148	0,005192
11,800348	-0,016441
11,848145	-0,005624
11,892643	-0,048889
11,934112	-0,027257
11,988775	-0,027257
12,033543	-0,038073
12,095073	-0,027257
12,150006	-0,027257
12,205207	-0,038073
12,270305	-0,016441
12,322208	-0,016441
12,390605	-0,038073
12,455972	-0,016441
12,534803	-0,016441
12,596602	-0,005624
12,655102	0,005192
12,716901	0,016008
12,785298	-0,005624
12,837201	-0,016441
12,895432	0,005192
12,953664	0,005192
12,998431	-0,005624
13,043198	-0,027257
13,087697	-0,027257
13,132195	-0,016441
13,169827	-0,038073
13,197562	-0,038073
13,238493	-0,038073
13,269527	-0,038073
13,314025	-0,038073
13,351657	-0,027257
13,386258	-0,016441
13,424159	-0,027257
13,462059	-0,027257
13,503528	-0,038073
13,564789	-0,027257
13,609557	-0,027257
13,664489	-0,005624
13,722989	0,005192
13,788088	-0,027257
13,856485	-0,005624
13,914985	-0,016441
13,98998	-0,016441
14,045181	-0,016441
14,10698	-0,005624
14,172078	-0,027257
14,230579	-0,027257
14,299244	-0,027257
14,364343	-0,027257
14,405811	-0,016441
14,460743	-0,048889
14,522274	0,005192
14,563742	0,005192
14,604942	0,016008
14,642842	0,016008
14,687609	0,005192
14,72551	0,005192
14,76644	0,005192
14,804072	-0,005624
14,831807	0,005192
14,86614	0,005192
14,910639	0,005192
14,958436	-0,005624
14,999635	-0,016441
15,044402	-0,016441
15,099066	-0,016441
15,153999	-0,016441
15,208932	-0,016441
15,263864	-0,038073
15,325663	-0,016441
15,39103	0,026824
15,456397	-0,027257
15,521495	0,005192
15,590161	0,005192
15,655259	0,016008
15,713759	0,005192
15,775559	0,005192
15,83076	0,005192
15,882394	0,016008
15,947223	0,016008
15,988691	-0,005624
16,040056	-0,005624
16,081256	-0,005624
16,129322	-0,016441
16,160356	-0,005624
16,208153	-0,027257
16,242486	-0,016441
16,283685	-0,005624
16,318018	-0,038073
16,355919	-0,038073
16,400148	-0,016441
16,43172	-0,005624
16,479786	-0,027257
16,517686	0,005192
16,572619	0,016008
16,630851	0,026824
16,69265	0,026824
16,747582	0,016008
16,812681	0,016008
16,871181	0,03764
16,939847	0,016008
16,994779	0,005192
17,059877	0,005192
17,131842	0,005192
17,186775	0,005192
17,241707	0,005192
17,29664	-0,016441
17,358439	-0,016441
17,413103	-0,016441
17,447705	-0,005624
17,468842	0,005192
17,526536	-0,005624
17,564705	0,005192
17,599038	0,005192
17,630072	0,005192
17,667704	0,016008
17,702037	0,026824
17,73637	0,03764
17,781137	0,016008
17,822336	0,026824
17,877	0,005192
17,918199	-0,016441
17,973132	0,005192
18,031364	-0,016441
18,082997	-0,005624
18,144528	-0,005624
18,209895	-0,027257
18,268395	-0,016441
18,340091	-0,005624
